DATE,UNE,SUBMARCA,MERCADO,CATEGORIA,TOTALPRICE
2020-02-29,PROMOCIONAL,CLOE,M1,moda,54.0
2020-08-14,MASCADA,CLOE,M1,moda,86.5
2020-09-10,BOLSO,CLOE,M1,moda,35.04
2020-09-27,EQUIPAJE,CLOE,M1,basico,25.4
2020-09-29,BOLSO,CLOE,M1,basico,79.28
2020-09-30,BOLSO,CLOE,M1,moda,132.88
2020-10-02,BOLSO,CLOE,M1,moda,0.76
2020-10-07,BOLSO,CLOEMOM&BABY,M1,moda,30.240000000000002
2020-10-07,EQUIPAJE,CLOE,M1,moda,24.0
2020-10-09,BILLETERA,CLOE,M1,moda,90.67999999999999
2020-10-15,BILLETERA,CLOE,M1,moda,142.96
2020-10-15,BOLSO,CLOEGIRLS,M1,moda,57.379999999999995
2020-10-15,BOLSO,CLOEGIRLS,M2,moda,20.0
2020-10-15,CALZADO,CLOE,M1,moda,185.67999999999992
2020-10-15,CALZADO,CLOE,M2,moda,27.139999999999993
2020-10-15,COSMETIQUERA,CLOE,M1,moda,99.18
2020-10-15,EQUIPAJE,CLOEUOMO,M1,moda,36.0
2020-10-17,CALZADO,CLOE,M1,moda,0.32000000000000006
2020-10-20,BILLETERA,CLOE,M1,moda,90.35999999999999
2020-10-30,BILLETERA,CLOE,M1,moda,13.3
2020-10-30,BOLSO,CLOE,M1,moda,369.4200000000001
2020-11-04,BOLSO,CLOE,M1,moda,164.28000000000003
2020-11-04,EQUIPAJE,CLOEUOMO,M1,moda,37.14
2020-11-09,BILLETERA,CLOE,M1,basico,142.44
2020-11-09,BILLETERA,CLOE,M1,moda,132.56
2020-11-09,BOLSO,CLOE,M1,moda,139.08
2020-11-09,BOLSO,CLOE,M2,moda,21.380000000000003
2020-11-09,BOLSO,CLOEGIRLS,M1,moda,80.58
2020-11-13,BILLETERA,CLOEUOMO,M1,moda,65.82
2020-11-13,EQUIPAJE,CLOE,M1,basico,231.14000000000001
2020-11-13,EQUIPAJE,CLOEUOMO,M1,moda,29.3
2020-11-14,CALZADO,CLOE,M1,basico,279.26
2020-11-14,CALZADO,CLOE,M2,basico,80.14000000000001
2020-11-19,CALZADO,CLOE,M1,moda,28.699999999999996
2020-11-19,CALZADO,CLOE,M2,moda,48.38
2020-11-20,CALZADO,CLOE,M1,moda,10.420000000000002
2020-11-20,EQUIPAJE,CLOE,M1,moda,82.39999999999999
2020-11-21,EQUIPAJE,CLOE,M1,moda,15.8
2020-12-04,BILLETERA,CLOE,M1,moda,61.79999999999999
2020-12-04,BOLSO,CLOE,M1,moda,22.3
2020-12-07,BILLETERA,CLOE,M1,moda,126.55999999999999
2020-12-10,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,M1,moda,146.1
2020-12-11,EQUIPAJE,CLOE,M1,basico,98.66
2020-12-11,EQUIPAJE,CLOE,M1,moda,83.88000000000001
2020-12-17,BOLSO,CLOE,M1,moda,60.980000000000004
2020-12-17,BOLSO,CLOE,M2,moda,12.92
2020-12-17,COSMETIQUERA,CLOE,M1,moda,82.4
2020-12-19,CALZADO,CLOE,M1,moda,27.48
2020-12-19,CALZADO,CLOE,M2,moda,4.4
2020-12-30,COSMETIQUERA,CLOE,M1,moda,111.34
2021-01-06,BOLSO,CLOE,M1,moda,20.299999999999997
2021-01-08,BOLSO,CLOEMOM&BABY,M1,moda,28.8
2021-01-08,EQUIPAJE,CLOE,M1,basico,71.84
2021-01-08,EQUIPAJE,CLOE,M2,basico,12.62
2021-01-08,EQUIPAJE,CLOEUOMO,M1,moda,21.24
2021-01-10,CALZADO,CLOE,M1,moda,51.58000000000001
2021-01-10,CALZADO,CLOE,M2,moda,20.5
2021-01-15,EQUIPAJE,CLOEAGATHARUIZDELAPRADA,M1,moda,39.84
2021-01-21,BILLETERA,CLOE,M1,moda,162.3
2021-01-22,EQUIPAJE,CLOE,M1,moda,86.88000000000001
2021-01-26,BILLETERA,CLOE,M1,moda,46.0
2021-01-29,EQUIPAJE,CLOE,M1,moda,40.2
2021-01-29,EQUIPAJE,CLOEUOMO,M1,moda,21.48
2021-02-05,BOLSO,CLOEAGATHARUIZDELAPRADA,M1,moda,20.740000000000002
2021-02-05,EQUIPAJE,CLOE,M1,basico,327.56
2021-02-05,EQUIPAJE,CLOE,M2,basico,11.34
2021-02-14,CALZADO,CLOE,M1,moda,71.35999999999996
2021-02-14,CALZADO,CLOE,M2,moda,0.7
2021-02-15,BILLETERA,CLOEAGATHARUIZDELAPRADA,M1,moda,36.0
2021-02-15,BOLSO,CLOEAGATHARUIZDELAPRADA,M1,moda,24.8
2021-02-18,EQUIPAJE,CLOE,M1,moda,30.740000000000002
2021-02-19,EQUIPAJE,CLOE,M1,moda,130.5
2021-02-25,BILLETERA,CLOE,M1,moda,36.4
2021-02-25,BOLSO,CLOE,M1,moda,30.799999999999997
2021-03-04,CALZADO,CLOE,M1,moda,55.92
2021-03-04,CALZADO,CLOE,M2,moda,20.32
2021-03-16,CALZADO,CLOE,M1,moda,107.02
2021-03-16,CALZADO,CLOE,M2,moda,18.48
2021-04-03,CALZADO,CLOE,M1,moda,9.48
2021-06-22,COSMETIQUERA,CLOE,M1,moda,114.97999999999999
2021-06-22,EQUIPAJE,CLOE,M1,moda,26.740000000000002
2021-12-31,BILLETERA,CLOE,M1,basico,360.03999999999996
2021-12-31,BILLETERA,CLOE,M1,moda,340.78
2021-12-31,BILLETERA,CLOE,M2,moda,44.38
2021-12-31,BOLSO,CLOE,M1,moda,532.92
2021-12-31,BOLSO,CLOE,M2,moda,682.4000000000003
2021-12-31,BOLSO,CLOEAGATHARUIZDELAPRADA,M1,moda,17.76
2021-12-31,BOLSO,CLOEAGATHARUIZDELAPRADA,M2,moda,17.96
2021-12-31,BOLSO,CLOEGIRLS,M1,moda,44.0
2021-12-31,BOLSO,CLOEMOM&BABY,M1,moda,10.0
2021-12-31,BOLSO,CLOEMOM&BABY,M2,moda,20.0
2021-12-31,CALZADO,CLOE,M2,moda,86.79999999999997
2021-12-31,COSMETIQUERA,CLOE,M1,basico,147.96
2021-12-31,COSMETIQUERA,CLOE,M2,moda,279.90000000000003
2021-12-31,EQUIPAJE,CLOE,M1,basico,215.83999999999992
2021-12-31,EQUIPAJE,CLOE,M1,moda,297.0
2021-12-31,EQUIPAJE,CLOE,M2,basico,8.06
