DATE,UNE,SUBMARCA,CATEGORIA,RATE_CATEGORY_MODA
2020-1-01,BOLSO,CLOEAGATHARUIZDELAPRADA,moda,0.92
2020-1-01,BOLSO,CLOEAGATHARUIZDELAPRADA,basico,0.08
2020-1-01,BOLSO,CLOESPORT,moda,0.92
2020-1-01,BOLSO,CLOESPORT,basico,0.08
2020-1-01,BOLSO,CLOEUOMO,moda,0.92
2020-1-01,BOLSO,CLOEUOMO,basico,0.08
2020-1-01,BOLSO,CLOELEATHER,moda,0.92
2020-1-01,BOLSO,CLOELEATHER,basico,0.08
2020-1-01,BOLSO,CLOE,moda,0.92
2020-1-01,BOLSO,CLOE,basico,0.08
2020-2-01,BOLSO,CLOEAGATHARUIZDELAPRADA,moda,0.92
2020-2-01,BOLSO,CLOEAGATHARUIZDELAPRADA,basico,0.08
2020-2-01,BOLSO,CLOESPORT,moda,0.92
2020-2-01,BOLSO,CLOESPORT,basico,0.08
2020-2-01,BOLSO,CLOEUOMO,moda,0.92
2020-2-01,BOLSO,CLOEUOMO,basico,0.08
2020-2-01,BOLSO,CLOELEATHER,moda,0.92
2020-2-01,BOLSO,CLOELEATHER,basico,0.08
2020-2-01,BOLSO,CLOE,moda,0.92
2020-2-01,BOLSO,CLOE,basico,0.08
2020-3-01,BOLSO,CLOEAGATHARUIZDELAPRADA,moda,0.92
2020-3-01,BOLSO,CLOEAGATHARUIZDELAPRADA,basico,0.08
2020-3-01,BOLSO,CLOESPORT,moda,0.92
2020-3-01,BOLSO,CLOESPORT,basico,0.08
2020-3-01,BOLSO,CLOEUOMO,moda,0.92
2020-3-01,BOLSO,CLOEUOMO,basico,0.08
2020-3-01,BOLSO,CLOELEATHER,moda,0.92
2020-3-01,BOLSO,CLOELEATHER,basico,0.08
2020-3-01,BOLSO,CLOE,moda,0.92
2020-3-01,BOLSO,CLOE,basico,0.08
2020-4-01,BOLSO,CLOEAGATHARUIZDELAPRADA,moda,0.92
2020-4-01,BOLSO,CLOEAGATHARUIZDELAPRADA,basico,0.08
2020-4-01,BOLSO,CLOESPORT,moda,0.92
2020-4-01,BOLSO,CLOESPORT,basico,0.08
2020-4-01,BOLSO,CLOEUOMO,moda,0.92
2020-4-01,BOLSO,CLOEUOMO,basico,0.08
2020-4-01,BOLSO,CLOELEATHER,moda,0.92
2020-4-01,BOLSO,CLOELEATHER,basico,0.08
2020-4-01,BOLSO,CLOE,moda,0.92
2020-4-01,BOLSO,CLOE,basico,0.08
2020-5-01,BOLSO,CLOEAGATHARUIZDELAPRADA,moda,0.92
2020-5-01,BOLSO,CLOEAGATHARUIZDELAPRADA,basico,0.08
2020-5-01,BOLSO,CLOESPORT,moda,0.92
2020-5-01,BOLSO,CLOESPORT,basico,0.08
2020-5-01,BOLSO,CLOEUOMO,moda,0.92
2020-5-01,BOLSO,CLOEUOMO,basico,0.08
2020-5-01,BOLSO,CLOELEATHER,moda,0.92
2020-5-01,BOLSO,CLOELEATHER,basico,0.08
2020-5-01,BOLSO,CLOE,moda,0.92
2020-5-01,BOLSO,CLOE,basico,0.08
2020-6-01,BOLSO,CLOEAGATHARUIZDELAPRADA,moda,0.92
2020-6-01,BOLSO,CLOEAGATHARUIZDELAPRADA,basico,0.08
2020-6-01,BOLSO,CLOESPORT,moda,0.92
2020-6-01,BOLSO,CLOESPORT,basico,0.08
2020-6-01,BOLSO,CLOEUOMO,moda,0.92
2020-6-01,BOLSO,CLOEUOMO,basico,0.08
2020-6-01,BOLSO,CLOELEATHER,moda,0.92
2020-6-01,BOLSO,CLOELEATHER,basico,0.08
2020-6-01,BOLSO,CLOE,moda,0.92
2020-6-01,BOLSO,CLOE,basico,0.08
2020-7-01,BOLSO,CLOEAGATHARUIZDELAPRADA,moda,0.92
2020-7-01,BOLSO,CLOEAGATHARUIZDELAPRADA,basico,0.08
2020-7-01,BOLSO,CLOESPORT,moda,0.92
2020-7-01,BOLSO,CLOESPORT,basico,0.08
2020-7-01,BOLSO,CLOEUOMO,moda,0.92
2020-7-01,BOLSO,CLOEUOMO,basico,0.08
2020-7-01,BOLSO,CLOELEATHER,moda,0.92
2020-7-01,BOLSO,CLOELEATHER,basico,0.08
2020-7-01,BOLSO,CLOE,moda,0.92
2020-7-01,BOLSO,CLOE,basico,0.08
2020-8-01,BOLSO,CLOEAGATHARUIZDELAPRADA,moda,0.92
2020-8-01,BOLSO,CLOEAGATHARUIZDELAPRADA,basico,0.08
2020-8-01,BOLSO,CLOESPORT,moda,0.92
2020-8-01,BOLSO,CLOESPORT,basico,0.08
2020-8-01,BOLSO,CLOEUOMO,moda,0.92
2020-8-01,BOLSO,CLOEUOMO,basico,0.08
2020-8-01,BOLSO,CLOELEATHER,moda,0.92
2020-8-01,BOLSO,CLOELEATHER,basico,0.08
2020-8-01,BOLSO,CLOE,moda,0.92
2020-8-01,BOLSO,CLOE,basico,0.08
2020-9-01,BOLSO,CLOEAGATHARUIZDELAPRADA,moda,0.92
2020-9-01,BOLSO,CLOEAGATHARUIZDELAPRADA,basico,0.08
2020-9-01,BOLSO,CLOESPORT,moda,0.92
2020-9-01,BOLSO,CLOESPORT,basico,0.08
2020-9-01,BOLSO,CLOEUOMO,moda,0.92
2020-9-01,BOLSO,CLOEUOMO,basico,0.08
2020-9-01,BOLSO,CLOELEATHER,moda,0.92
2020-9-01,BOLSO,CLOELEATHER,basico,0.08
2020-9-01,BOLSO,CLOE,moda,0.92
2020-9-01,BOLSO,CLOE,basico,0.08
2020-10-01,BOLSO,CLOEAGATHARUIZDELAPRADA,moda,0.92
2020-10-01,BOLSO,CLOEAGATHARUIZDELAPRADA,basico,0.08
2020-10-01,BOLSO,CLOESPORT,moda,0.92
2020-10-01,BOLSO,CLOESPORT,basico,0.08
2020-10-01,BOLSO,CLOEUOMO,moda,0.92
2020-10-01,BOLSO,CLOEUOMO,basico,0.08
2020-10-01,BOLSO,CLOELEATHER,moda,0.92
2020-10-01,BOLSO,CLOELEATHER,basico,0.08
2020-10-01,BOLSO,CLOE,moda,0.92
2020-10-01,BOLSO,CLOE,basico,0.08
2020-11-01,BOLSO,CLOEAGATHARUIZDELAPRADA,moda,0.92
2020-11-01,BOLSO,CLOEAGATHARUIZDELAPRADA,basico,0.08
2020-11-01,BOLSO,CLOESPORT,moda,0.92
2020-11-01,BOLSO,CLOESPORT,basico,0.08
2020-11-01,BOLSO,CLOEUOMO,moda,0.92
2020-11-01,BOLSO,CLOEUOMO,basico,0.08
2020-11-01,BOLSO,CLOELEATHER,moda,0.92
2020-11-01,BOLSO,CLOELEATHER,basico,0.08
2020-11-01,BOLSO,CLOE,moda,0.92
2020-11-01,BOLSO,CLOE,basico,0.08
2020-12-01,BOLSO,CLOEAGATHARUIZDELAPRADA,moda,0.92
2020-12-01,BOLSO,CLOEAGATHARUIZDELAPRADA,basico,0.08
2020-12-01,BOLSO,CLOESPORT,moda,0.92
2020-12-01,BOLSO,CLOESPORT,basico,0.08
2020-12-01,BOLSO,CLOEUOMO,moda,0.92
2020-12-01,BOLSO,CLOEUOMO,basico,0.08
2020-12-01,BOLSO,CLOELEATHER,moda,0.92
2020-12-01,BOLSO,CLOELEATHER,basico,0.08
2020-12-01,BOLSO,CLOE,moda,0.92
2020-12-01,BOLSO,CLOE,basico,0.08
2020-1-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,moda,0.8
2020-1-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,basico,0.2
2020-1-01,BILLETERA,CLOESPORT,moda,0.8
2020-1-01,BILLETERA,CLOESPORT,basico,0.2
2020-1-01,BILLETERA,CLOEUOMO,moda,0.8
2020-1-01,BILLETERA,CLOEUOMO,basico,0.2
2020-1-01,BILLETERA,CLOELEATHER,moda,0.8
2020-1-01,BILLETERA,CLOELEATHER,basico,0.2
2020-1-01,BILLETERA,CLOEGIRLS,moda,0.8
2020-1-01,BILLETERA,CLOEGIRLS,basico,0.2
2020-1-01,BILLETERA,CLOE,moda,0.8
2020-1-01,BILLETERA,CLOE,basico,0.2
2020-1-01,BILLETERA,CLOEMOM&BABY,moda,0.8
2020-1-01,BILLETERA,CLOEMOM&BABY,basico,0.2
2020-2-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,moda,0.8
2020-2-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,basico,0.2
2020-2-01,BILLETERA,CLOESPORT,moda,0.8
2020-2-01,BILLETERA,CLOESPORT,basico,0.2
2020-2-01,BILLETERA,CLOEUOMO,moda,0.8
2020-2-01,BILLETERA,CLOEUOMO,basico,0.2
2020-2-01,BILLETERA,CLOELEATHER,moda,0.8
2020-2-01,BILLETERA,CLOELEATHER,basico,0.2
2020-2-01,BILLETERA,CLOEGIRLS,moda,0.8
2020-2-01,BILLETERA,CLOEGIRLS,basico,0.2
2020-2-01,BILLETERA,CLOE,moda,0.8
2020-2-01,BILLETERA,CLOE,basico,0.2
2020-2-01,BILLETERA,CLOEMOM&BABY,moda,0.8
2020-2-01,BILLETERA,CLOEMOM&BABY,basico,0.2
2020-3-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,moda,0.8
2020-3-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,basico,0.2
2020-3-01,BILLETERA,CLOESPORT,moda,0.8
2020-3-01,BILLETERA,CLOESPORT,basico,0.2
2020-3-01,BILLETERA,CLOEUOMO,moda,0.8
2020-3-01,BILLETERA,CLOEUOMO,basico,0.2
2020-3-01,BILLETERA,CLOELEATHER,moda,0.8
2020-3-01,BILLETERA,CLOELEATHER,basico,0.2
2020-3-01,BILLETERA,CLOEGIRLS,moda,0.8
2020-3-01,BILLETERA,CLOEGIRLS,basico,0.2
2020-3-01,BILLETERA,CLOE,moda,0.8
2020-3-01,BILLETERA,CLOE,basico,0.2
2020-3-01,BILLETERA,CLOEMOM&BABY,moda,0.8
2020-3-01,BILLETERA,CLOEMOM&BABY,basico,0.2
2020-4-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,moda,0.8
2020-4-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,basico,0.2
2020-4-01,BILLETERA,CLOESPORT,moda,0.8
2020-4-01,BILLETERA,CLOESPORT,basico,0.2
2020-4-01,BILLETERA,CLOEUOMO,moda,0.8
2020-4-01,BILLETERA,CLOEUOMO,basico,0.2
2020-4-01,BILLETERA,CLOELEATHER,moda,0.8
2020-4-01,BILLETERA,CLOELEATHER,basico,0.2
2020-4-01,BILLETERA,CLOEGIRLS,moda,0.8
2020-4-01,BILLETERA,CLOEGIRLS,basico,0.2
2020-4-01,BILLETERA,CLOE,moda,0.8
2020-4-01,BILLETERA,CLOE,basico,0.2
2020-4-01,BILLETERA,CLOEMOM&BABY,moda,0.8
2020-4-01,BILLETERA,CLOEMOM&BABY,basico,0.2
2020-5-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,moda,0.8
2020-5-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,basico,0.2
2020-5-01,BILLETERA,CLOESPORT,moda,0.8
2020-5-01,BILLETERA,CLOESPORT,basico,0.2
2020-5-01,BILLETERA,CLOEUOMO,moda,0.8
2020-5-01,BILLETERA,CLOEUOMO,basico,0.2
2020-5-01,BILLETERA,CLOELEATHER,moda,0.8
2020-5-01,BILLETERA,CLOELEATHER,basico,0.2
2020-5-01,BILLETERA,CLOEGIRLS,moda,0.8
2020-5-01,BILLETERA,CLOEGIRLS,basico,0.2
2020-5-01,BILLETERA,CLOE,moda,0.8
2020-5-01,BILLETERA,CLOE,basico,0.2
2020-5-01,BILLETERA,CLOEMOM&BABY,moda,0.8
2020-5-01,BILLETERA,CLOEMOM&BABY,basico,0.2
2020-6-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,moda,0.8
2020-6-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,basico,0.2
2020-6-01,BILLETERA,CLOESPORT,moda,0.8
2020-6-01,BILLETERA,CLOESPORT,basico,0.2
2020-6-01,BILLETERA,CLOEUOMO,moda,0.8
2020-6-01,BILLETERA,CLOEUOMO,basico,0.2
2020-6-01,BILLETERA,CLOELEATHER,moda,0.8
2020-6-01,BILLETERA,CLOELEATHER,basico,0.2
2020-6-01,BILLETERA,CLOEGIRLS,moda,0.8
2020-6-01,BILLETERA,CLOEGIRLS,basico,0.2
2020-6-01,BILLETERA,CLOE,moda,0.8
2020-6-01,BILLETERA,CLOE,basico,0.2
2020-6-01,BILLETERA,CLOEMOM&BABY,moda,0.8
2020-6-01,BILLETERA,CLOEMOM&BABY,basico,0.2
2020-7-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,moda,0.8
2020-7-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,basico,0.2
2020-7-01,BILLETERA,CLOESPORT,moda,0.8
2020-7-01,BILLETERA,CLOESPORT,basico,0.2
2020-7-01,BILLETERA,CLOEUOMO,moda,0.8
2020-7-01,BILLETERA,CLOEUOMO,basico,0.2
2020-7-01,BILLETERA,CLOELEATHER,moda,0.8
2020-7-01,BILLETERA,CLOELEATHER,basico,0.2
2020-7-01,BILLETERA,CLOEGIRLS,moda,0.8
2020-7-01,BILLETERA,CLOEGIRLS,basico,0.2
2020-7-01,BILLETERA,CLOE,moda,0.8
2020-7-01,BILLETERA,CLOE,basico,0.2
2020-7-01,BILLETERA,CLOEMOM&BABY,moda,0.8
2020-7-01,BILLETERA,CLOEMOM&BABY,basico,0.2
2020-8-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,moda,0.8
2020-8-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,basico,0.2
2020-8-01,BILLETERA,CLOESPORT,moda,0.8
2020-8-01,BILLETERA,CLOESPORT,basico,0.2
2020-8-01,BILLETERA,CLOEUOMO,moda,0.8
2020-8-01,BILLETERA,CLOEUOMO,basico,0.2
2020-8-01,BILLETERA,CLOELEATHER,moda,0.8
2020-8-01,BILLETERA,CLOELEATHER,basico,0.2
2020-8-01,BILLETERA,CLOEGIRLS,moda,0.8
2020-8-01,BILLETERA,CLOEGIRLS,basico,0.2
2020-8-01,BILLETERA,CLOE,moda,0.8
2020-8-01,BILLETERA,CLOE,basico,0.2
2020-8-01,BILLETERA,CLOEMOM&BABY,moda,0.8
2020-8-01,BILLETERA,CLOEMOM&BABY,basico,0.2
2020-9-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,moda,0.8
2020-9-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,basico,0.2
2020-9-01,BILLETERA,CLOESPORT,moda,0.8
2020-9-01,BILLETERA,CLOESPORT,basico,0.2
2020-9-01,BILLETERA,CLOEUOMO,moda,0.8
2020-9-01,BILLETERA,CLOEUOMO,basico,0.2
2020-9-01,BILLETERA,CLOELEATHER,moda,0.8
2020-9-01,BILLETERA,CLOELEATHER,basico,0.2
2020-9-01,BILLETERA,CLOEGIRLS,moda,0.8
2020-9-01,BILLETERA,CLOEGIRLS,basico,0.2
2020-9-01,BILLETERA,CLOE,moda,0.8
2020-9-01,BILLETERA,CLOE,basico,0.2
2020-9-01,BILLETERA,CLOEMOM&BABY,moda,0.8
2020-9-01,BILLETERA,CLOEMOM&BABY,basico,0.2
2020-10-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,moda,0.8
2020-10-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,basico,0.2
2020-10-01,BILLETERA,CLOESPORT,moda,0.8
2020-10-01,BILLETERA,CLOESPORT,basico,0.2
2020-10-01,BILLETERA,CLOEUOMO,moda,0.8
2020-10-01,BILLETERA,CLOEUOMO,basico,0.2
2020-10-01,BILLETERA,CLOELEATHER,moda,0.8
2020-10-01,BILLETERA,CLOELEATHER,basico,0.2
2020-10-01,BILLETERA,CLOEGIRLS,moda,0.8
2020-10-01,BILLETERA,CLOEGIRLS,basico,0.2
2020-10-01,BILLETERA,CLOE,moda,0.8
2020-10-01,BILLETERA,CLOE,basico,0.2
2020-10-01,BILLETERA,CLOEMOM&BABY,moda,0.8
2020-10-01,BILLETERA,CLOEMOM&BABY,basico,0.2
2020-11-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,moda,0.8
2020-11-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,basico,0.2
2020-11-01,BILLETERA,CLOESPORT,moda,0.8
2020-11-01,BILLETERA,CLOESPORT,basico,0.2
2020-11-01,BILLETERA,CLOEUOMO,moda,0.8
2020-11-01,BILLETERA,CLOEUOMO,basico,0.2
2020-11-01,BILLETERA,CLOELEATHER,moda,0.8
2020-11-01,BILLETERA,CLOELEATHER,basico,0.2
2020-11-01,BILLETERA,CLOEGIRLS,moda,0.8
2020-11-01,BILLETERA,CLOEGIRLS,basico,0.2
2020-11-01,BILLETERA,CLOE,moda,0.8
2020-11-01,BILLETERA,CLOE,basico,0.2
2020-11-01,BILLETERA,CLOEMOM&BABY,moda,0.8
2020-11-01,BILLETERA,CLOEMOM&BABY,basico,0.2
2020-12-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,moda,0.8
2020-12-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,basico,0.2
2020-12-01,BILLETERA,CLOESPORT,moda,0.8
2020-12-01,BILLETERA,CLOESPORT,basico,0.2
2020-12-01,BILLETERA,CLOEUOMO,moda,0.8
2020-12-01,BILLETERA,CLOEUOMO,basico,0.2
2020-12-01,BILLETERA,CLOELEATHER,moda,0.8
2020-12-01,BILLETERA,CLOELEATHER,basico,0.2
2020-12-01,BILLETERA,CLOEGIRLS,moda,0.8
2020-12-01,BILLETERA,CLOEGIRLS,basico,0.2
2020-12-01,BILLETERA,CLOE,moda,0.8
2020-12-01,BILLETERA,CLOE,basico,0.2
2020-12-01,BILLETERA,CLOEMOM&BABY,moda,0.8
2020-12-01,BILLETERA,CLOEMOM&BABY,basico,0.2
2020-1-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,moda,0.9
2020-1-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,basico,0.1
2020-1-01,COSMETIQUERA,LUCENTZZA,moda,0.9
2020-1-01,COSMETIQUERA,LUCENTZZA,basico,0.1
2020-1-01,COSMETIQUERA,CLOESPORT,moda,0.9
2020-1-01,COSMETIQUERA,CLOESPORT,basico,0.1
2020-1-01,COSMETIQUERA,CLOEUOMO,moda,0.9
2020-1-01,COSMETIQUERA,CLOEUOMO,basico,0.1
2020-1-01,COSMETIQUERA,CLOELEATHER,moda,0.9
2020-1-01,COSMETIQUERA,CLOELEATHER,basico,0.1
2020-1-01,COSMETIQUERA,CLOEGIRLS,moda,0.9
2020-1-01,COSMETIQUERA,CLOEGIRLS,basico,0.1
2020-1-01,COSMETIQUERA,CLOE,moda,0.9
2020-1-01,COSMETIQUERA,CLOE,basico,0.1
2020-1-01,COSMETIQUERA,CLOEMOM&BABY,moda,0.9
2020-1-01,COSMETIQUERA,CLOEMOM&BABY,basico,0.1
2020-2-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,moda,0.9
2020-2-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,basico,0.1
2020-2-01,COSMETIQUERA,LUCENTZZA,moda,0.9
2020-2-01,COSMETIQUERA,LUCENTZZA,basico,0.1
2020-2-01,COSMETIQUERA,CLOESPORT,moda,0.9
2020-2-01,COSMETIQUERA,CLOESPORT,basico,0.1
2020-2-01,COSMETIQUERA,CLOEUOMO,moda,0.9
2020-2-01,COSMETIQUERA,CLOEUOMO,basico,0.1
2020-2-01,COSMETIQUERA,CLOELEATHER,moda,0.9
2020-2-01,COSMETIQUERA,CLOELEATHER,basico,0.1
2020-2-01,COSMETIQUERA,CLOEGIRLS,moda,0.9
2020-2-01,COSMETIQUERA,CLOEGIRLS,basico,0.1
2020-2-01,COSMETIQUERA,CLOE,moda,0.9
2020-2-01,COSMETIQUERA,CLOE,basico,0.1
2020-2-01,COSMETIQUERA,CLOEMOM&BABY,moda,0.9
2020-2-01,COSMETIQUERA,CLOEMOM&BABY,basico,0.1
2020-3-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,moda,0.9
2020-3-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,basico,0.1
2020-3-01,COSMETIQUERA,LUCENTZZA,moda,0.9
2020-3-01,COSMETIQUERA,LUCENTZZA,basico,0.1
2020-3-01,COSMETIQUERA,CLOESPORT,moda,0.9
2020-3-01,COSMETIQUERA,CLOESPORT,basico,0.1
2020-3-01,COSMETIQUERA,CLOEUOMO,moda,0.9
2020-3-01,COSMETIQUERA,CLOEUOMO,basico,0.1
2020-3-01,COSMETIQUERA,CLOELEATHER,moda,0.9
2020-3-01,COSMETIQUERA,CLOELEATHER,basico,0.1
2020-3-01,COSMETIQUERA,CLOEGIRLS,moda,0.9
2020-3-01,COSMETIQUERA,CLOEGIRLS,basico,0.1
2020-3-01,COSMETIQUERA,CLOE,moda,0.9
2020-3-01,COSMETIQUERA,CLOE,basico,0.1
2020-3-01,COSMETIQUERA,CLOEMOM&BABY,moda,0.9
2020-3-01,COSMETIQUERA,CLOEMOM&BABY,basico,0.1
